Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-20 00:00:00,2020-01-21 00:00:00,2020-01-22 00:00:00,2020-01-23 00:00:00,2020-01-24 00:00:00,2020-01-25 00:00:00,2020-01-26 00:00:00,2020-01-27 00:00:00,2020-01-28 00:00:00,2020-01-29 00:00:00,2020-01-30 00:00:00,2020-01-31 00:00:00,2020-02-01 00:00:00,2020-02-02 00:00:00,2020-02-03 00:00:00,2020-02-04 00:00:00,2020-02-05 00:00:00,2020-02-06 00:00:00,2020-02-07 00:00:00,2020-02-08 00:00:00,2020-02-09 00:00:00,2020-02-10 00:00:00,2020-02-11 00:00:00,2020-02-12 00:00:00,2020-02-13 00:00:00,2020-02-14 00:00:00,2020-02-15 00:00:00,2020-02-16 00:00:00,2020-02-17 00:00:00,2020-02-18 00:00:00,2020-02-19 00:00:00,2020-02-20 00:00:00,2020-02-21 00:00:00,2020-02-22 00:00:00,2020-02-23 00:00:00,2020-02-24 00:00:00,2020-02-25 00:00:00,2020-02-26 00:00:00,2020-02-27 00:00:00,2020-02-28 00:00:00,2020-02-29 00:00:00
Huai'an,Jiangsu,淮安市,江苏省,,,0.0,0.0,0.0,1.0,2.0,2.0,3.0,7,10,12,13,18,22,26,34,37,40,44,46,46,47,51,56,60,63,65,66,66,66,66,66,66,66,66,66,66.0,,,
Yancheng,Jiangsu,盐城市,江苏省,,,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6,8,13,15,15,15,15,16,16,17,17,18,18,21,25,26,27,27,27,27,27,27,27,27,27,27,27,27,27.0,,,
Yangzhou,Jiangsu,扬州市,江苏省,,,0.0,1.0,1.0,1.0,4.0,5.0,8.0,8,8,13,13,14,15,15,15,17,17,18,18,18,18,20,20,21,22,23,23,23,23,23,23,23,23,23,23,23.0,,,
Zhenjiang,Jiangsu,镇江市,江苏省,,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2,2,2,3,3,5,6,8,9,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0,,,
Taizhou,Jiangsu,泰州市,江苏省,,,0.0,0.0,0.0,1.0,2.0,4.0,8.0,9,12,17,17,21,23,26,28,29,30,30,31,34,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37.0,,,
Suqian,Jiangsu,宿迁市,江苏省,,,0.0,0.0,1.0,1.0,1.0,3.0,4.0,4,7,8,8,9,10,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13.0,,,
Hangzhou,Zhejiang,杭州市,浙江省,,1.0,6.0,6.0,12.0,27.0,27.0,32.0,51.0,69,85,98,110,118,132,141,151,156,162,165,155,157,159,162,165,166,166,168,168,168,169,169,169,169,169,169,169,169.0,,,
Ningbo,Zhejiang,宁波市,浙江省,,3.0,5.0,5.0,6.0,13.0,13.0,17.0,20.0,41,46,55,66,75,102,120,126,136,141,146,149,151,153,153,153,154,155,156,156,156,156,157,157,157,157,157,157,157.0,,,
Wenzhou,Zhejiang,温州市,浙江省,,4.0,6.0,6.0,10.0,18.0,32.0,60.0,114.0,172,227,241,265,291,340,364,396,421,438,448,464,474,481,490,496,499,502,503,504,504,504,504,504,504,504,504,504,504.0,,,
Huzhou,Zhejiang,湖州市,浙江省,,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,5,6,6,6,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0,,,
